STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,indic,Indicator,s_adj,Seasonal adjustment,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:EI_BSCO_M(1.0),Consumers confidence indicator and survey results - monthly data,M,Monthly,BS-FS-LY,Financial situation over the last 12 months,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),BAL,Balance,EA20,Euro area – 20 countries (2023-2025),2020-09,,-9.6,,,,,
dataflow,ESTAT:EI_BSCO_M(1.0),Consumers confidence indicator and survey results - monthly data,M,Monthly,BS-FS-LY,Financial situation over the last 12 months,SA,"Seasonally adjusted data, not calendar adjusted data",BAL,Balance,EA20,Euro area – 20 countries (2023-2025),2018-09,,-3.2,,,,,
dataflow,ESTAT:EI_BSCO_M(1.0),Consumers confidence indicator and survey results - monthly data,M,Monthly,BS-FS-LY,Financial situation over the last 12 months,SA,"Seasonally adjusted data, not calendar adjusted data",BAL,Balance,EA20,Euro area – 20 countries (2023-2025),2018-10,,-3.2,,,,,
dataflow,ESTAT:EI_BSCO_M(1.0),Consumers confidence indicator and survey results - monthly data,M,Monthly,BS-FS-LY,Financial situation over the last 12 months,SA,"Seasonally adjusted data, not calendar adjusted data",BAL,Balance,EA20,Euro area – 20 countries (2023-2025),2018-11,,-3.0,,,,,
dataflow,ESTAT:EI_BSCO_M(1.0),Consumers confidence indicator and survey results - monthly data,M,Monthly,BS-FS-LY,Financial situation over the last 12 months,SA,"Seasonally adjusted data, not calendar adjusted data",BAL,Balance,EA20,Euro area – 20 countries (2023-2025),2018-12,,-4.3,,,,,
dataflow,ESTAT:EI_BSCO_M(1.0),Consumers confidence indicator and survey results - monthly data,M,Monthly,BS-FS-LY,Financial situation over the last 12 months,SA,"Seasonally adjusted data, not calendar adjusted data",BAL,Balance,EA20,Euro area – 20 countries (2023-2025),2019-01,,-3.3,,,,,
dataflow,ESTAT:EI_BSCO_M(1.0),Consumers confidence indicator and survey results - monthly data,M,Monthly,BS-FS-LY,Financial situation over the last 12 months,SA,"Seasonally adjusted data, not calendar adjusted data",BAL,Balance,EA20,Euro area – 20 countries (2023-2025),2019-02,,-2.7,,,,,
dataflow,ESTAT:EI_BSCO_M(1.0),Consumers confidence indicator and survey results - monthly data,M,Monthly,BS-FS-LY,Financial situation over the last 12 months,SA,"Seasonally adjusted data, not calendar adjusted data",BAL,Balance,EA20,Euro area – 20 countries (2023-2025),2019-03,,-2.5,,,,,
dataflow,ESTAT:EI_BSCO_M(1.0),Consumers confidence indicator and survey results - monthly data,M,Monthly,BS-FS-LY,Financial situation over the last 12 months,SA,"Seasonally adjusted data, not calendar adjusted data",BAL,Balance,EA20,Euro area – 20 countries (2023-2025),2019-04,,-2.1,,,,,
dataflow,ESTAT:EI_BSCO_M(1.0),Consumers confidence indicator and survey results - monthly data,M,Monthly,BS-FS-LY,Financial situation over the last 12 months,SA,"Seasonally adjusted data, not calendar adjusted data",BAL,Balance,EA20,Euro area – 20 countries (2023-2025),2019-05,,-1.7,,,,,
dataflow,ESTAT:EI_BSCO_M(1.0),Consumers confidence indicator and survey results - monthly data,M,Monthly,BS-FS-LY,Financial situation over the last 12 months,SA,"Seasonally adjusted data, not calendar adjusted data",BAL,Balance,EA20,Euro area – 20 countries (2023-2025),2019-06,,-2.1,,,,,
dataflow,ESTAT:EI_BSCO_M(1.0),Consumers confidence indicator and survey results - monthly data,M,Monthly,BS-FS-LY,Financial situation over the last 12 months,SA,"Seasonally adjusted data, not calendar adjusted data",BAL,Balance,EA20,Euro area – 20 countries (2023-2025),2019-07,,-1.4,,,,,
dataflow,ESTAT:EI_BSCO_M(1.0),Consumers confidence indicator and survey results - monthly data,M,Monthly,BS-FS-LY,Financial situation over the last 12 months,SA,"Seasonally adjusted data, not calendar adjusted data",BAL,Balance,EA20,Euro area – 20 countries (2023-2025),2019-08,,-1.3,,,,,
dataflow,ESTAT:EI_BSCO_M(1.0),Consumers confidence indicator and survey results - monthly data,M,Monthly,BS-FS-LY,Financial situation over the last 12 months,SA,"Seasonally adjusted data, not calendar adjusted data",BAL,Balance,EA20,Euro area – 20 countries (2023-2025),2019-09,,-1.1,,,,,
